"rank","title","artist"
"1","Please Excuse Me For Being Antisocial","Roddy Ricch"
"2","Hollywood's Bleeding","Post Malone"
"3","Fine Line","Harry Styles"
"4","JACKBOYS","JACKBOYS"
"5","Frozen II","Soundtrack"
"6","KIRK","DaBaby"
"7","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"8","So Much Fun","Young Thug"
"9","Over It","Summer Walker"
"10","Ghetto Gospel","Rod Wave"
"11","A Love Letter To You 4","Trippie Redd"
"12","AI YoungBoy 2","YoungBoy Never Broke Again"
"13","Lover","Taylor Swift"
"14","What You See Is What You Get","Luke Combs"
"15","Romance","Camila Cabello"
"16","Goodbye & Good Riddance","Juice WRLD"
"17","beerbongs & bentleys","Post Malone"
"18","Death Race For Love","Juice WRLD"
"19","No.6 Collaborations Project","Ed Sheeran"
"20","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"21","Cuz I Love You","Lizzo"
"22","Dont Smile At Me","Billie Eilish"
"23","Indigo","Chris Brown"
"24","Perfect Ten","Mustard"
"25","ASTROWORLD","Travis Scott"
"26","Melly vs. Melvin","YNW Melly"
"27","Scorpion","Drake"
"28","Greatest Hits","Queen"
"29","This One's For You","Luke Combs"
"30","The Kids Are Coming (EP)","Tones And I"
"31","True 2 Myself","Lil Tjay"
"32","Stoney","Post Malone"
"33","7 (EP)","Lil Nas X"
"34","Fully Loaded: God's Country","Blake Shelton"
"35","Thank U, Next","Ariana Grande"
"36","Free Spirit","Khalid"
"37","Baby On Baby","DaBaby"
"38","Hot Pink","Doja Cat"
"39","We Love You Tecca","Lil Tecca"
"40","Diamonds","Elton John"
"41","The Search","NF"
"42","?","XXXTENTACION"
"43","Shawn Mendes","Shawn Mendes"
"44","Hamilton: An American Musical","Original Broadway Cast"
"45","Happiness Begins","Jonas Brothers"
"46","If I Know Me","Morgan Wallen"
"47","Quality Control: Control The Streets, Volume 2","Various Artists"
"48","÷ (Divide)","Ed Sheeran"
"49","Hoodie SZN","A Boogie Wit da Hoodie"
"50","9","Jason Aldean"
"51","Chixtape 5","Tory Lanez"
"52","American Teen","Khalid"
"53","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"54","Dan + Shay","Dan + Shay"
"55","Luv Is Rage 2","Lil Uzi Vert"
"56","Abbey Road","The Beatles"
"57","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"58","I'm Him","Kevin Gates"
"59","Frozen","Soundtrack"
"60","Invasion Of Privacy","Cardi B"
"61","Old Dominion","Old Dominion"
"62","Look Up Child","Lauren Daigle"
"63","Experiment","Kane Brown"
"64","The Greatest Showman","Soundtrack"
"65","Homesick (EP)","Trevor Daniel"
"66","Traveller","Chris Stapleton"
"67","GIRL","Maren Morris"
"68","1","The Beatles"
"69","Die A Legend","Polo G"
"70","DAMN.","Kendrick Lamar"
"71","Championships","Meek Mill"
"72","Cottonwood","NLE Choppa"
"73","Coconut Oil (EP)","Lizzo"
"74","Journey's Greatest Hits","Journey"
"75","Rumours","Fleetwood Mac"
"76","X 100PRE","Bad Bunny"
"77","MONTANA","French Montana"
"78","Take Care","Drake"
"79","Views","Drake"
"80","Legend: The Best Of...","Bob Marley And The Wailers"
"81","Starboy","The Weeknd"
"82","JESUS IS KING (Soundtrack)","Kanye West"
"83","Beauty Behind The Madness","The Weeknd"
"84","Evolve","Imagine Dragons"
"85","Swimming","Mac Miller"
"86","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"87","Moana","Soundtrack"
"88","2014 Forest Hills Drive","J. Cole"
"89","Drip Harder","Lil Baby & Gunna"
"90","The Essential Billy Joel","Billy Joel"
"91","Summertime Shootout 3: Coldest Summer Ever","Fabolous"
"92","World War Joy","The Chainsmokers"
"93","good kid, m.A.A.d city","Kendrick Lamar"
"94","Greatest Hits","2Pac"
"95","GINGER","BrockHampton"
"96","Perception","NF"
"97","Certified Hitmaker","Lil Mosey"
"98","17","XXXTENTACION"
"99","IGOR","Tyler, The Creator"
"100","Pray For The Wicked","Panic! At The Disco"
"101","Greatest Hits","Tom Petty And The Heartbreakers"
"102","Back In Black","AC/DC"
"103","1989","Taylor Swift"
"104","More Life","Drake"
"105","Birds In The Trap Sing McKnight","Travis Scott"
"106","I Am > I Was","21 Savage"
"107","Feed Tha Streets II","Roddy Ricch"
"108","Norman Fucking Rockwell!","Lana Del Rey"
"109","The Eminem Show","Eminem"
"110","Center Point Road","Thomas Rhett"
"111","Kane Brown","Kane Brown"
"112","Ocean","Lady Antebellum"
"113","Victory Lap","Nipsey Hussle"
"114","Ctrl","SZA"
"115","21","Adele"
"116","H.E.R.","H.E.R."
"117","Fever","Megan Thee Stallion"
"118","Appetite For Destruction","Guns N' Roses"
"119","Blonde","Frank Ocean"
"120","Ella Mai","Ella Mai"
"121","Bad Vibes Forever","XXXTENTACION"
"122","Life's A Trip","Trippie Redd"
"123","The Essential Michael Jackson","Michael Jackson"
"124","The Essential Elvis Presley","Elvis Presley"
"125","Ultimate Sinatra","Frank Sinatra"
"126","A Decade Of Destruction","Five Finger Death Punch"
"127","Cosmic","Bazzi"
"128","Sweetener","Ariana Grande"
"129","x","Ed Sheeran"
"130","Blurryface","twenty one pilots"
"131","T R A P S O U L","Bryson Tiller"
"132","Their Greatest Hits 1971-1975","Eagles"
"133","Greatest Hits","Red Hot Chili Peppers"
"134","Doo-Wops & Hooligans","Bruno Mars"
"135","I Am You","YNW Melly"
"136","Nevermind","Nirvana"
"137","Love Yourself: Answer","BTS"
"138","BALLADS 1","Joji"
"139","In The Lonely Hour","Sam Smith"
"140","Harder Than Ever","Lil Baby"
"141","Tha Carter V","Lil Wayne"
"142","ANTI","Rihanna"
"143","Night Visions","Imagine Dragons"
"144","Wow... That's Crazy","Wale"
"145","Currents","Tame Impala"
"146","Golden Hour","Kacey Musgraves"
"147","reputation","Taylor Swift"
"148","Greatest Hits","The Notorious B.I.G."
"149","Thriller","Michael Jackson"
"150","Nothing Was The Same","Drake"
"151","Born To Die","Lana Del Rey"
"152","MELT (Deluxe)","SHAED"
"153","Until Death Call My Name","YoungBoy Never Broke Again"
"154","Die Lit","Playboi Carti"
"155","Drip Or Drown 2","Gunna"
"156","Oasis","J Balvin & Bad Bunny"
"157","Greatest Hits","Bob Seger & The Silver Bullet Band"
"158","Culture II","Migos"
"159","Metallica","Metallica"
"160","Kamikaze","Eminem"
"161","Dying To Live","Kodak Black"
"162","K-12 (Soundtrack)","Melanie Martinez"
"163","Rearview Town","Jason Aldean"
"164","A Love Letter To You 3","Trippie Redd"
"165","Red Pill Blues","Maroon 5"
"166","Greatest Hits So Far...","Zac Brown Band"
"167","Marshmello: Fortnite Extended Set","Marshmello"
