"rank","title","artist"
"1","Please Excuse Me For Being Antisocial","Roddy Ricch"
"2","Hollywood's Bleeding","Post Malone"
"3","Music To Be Murdered By","Eminem"
"4","Father Of All...","Green Day"
"5","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"6","Funeral","Lil Wayne"
"7","Meet The Woo, V.2","Pop Smoke"
"8","Manic","Halsey"
"9","KIRK","DaBaby"
"10","Lover","Taylor Swift"
"11","Fine Line","Harry Styles"
"12","Frozen II","Soundtrack"
"13","JACKBOYS","JACKBOYS"
"14","What You See Is What You Get","Luke Combs"
"15","Over It","Summer Walker"
"16","Cuz I Love You","Lizzo"
"17","Ghetto Gospel","Rod Wave"
"18","AI YoungBoy 2","YoungBoy Never Broke Again"
"19","So Much Fun","Young Thug"
"20","Fuck The World","Brent Faiyaz"
"21","beerbongs & bentleys","Post Malone"
"22","Goodbye & Good Riddance","Juice WRLD"
"23","Birds Of Prey: The Album","Soundtrack"
"24","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"25","Dont Smile At Me","Billie Eilish"
"26","Time Served","Moneybagg Yo"
"27","Romance","Camila Cabello"
"28","Circles","Mac Miller"
"29","A Love Letter To You 4","Trippie Redd"
"30","Untrapped","Yo Gotti"
"31","Death Race For Love","Juice WRLD"
"32","7 (EP)","Lil Nas X"
"33","Rare","Selena Gomez"
"34","Greatest Hits","Queen"
"35","Scorpion","Drake"
"36","This One's For You","Luke Combs"
"37","ASTROWORLD","Travis Scott"
"38","No.6 Collaborations Project","Ed Sheeran"
"39","Hot Pink","Doja Cat"
"40","The Kids Are Coming (EP)","Tones And I"
"41","Indigo","Chris Brown"
"42","Stoney","Post Malone"
"43","Perfect Ten","Mustard"
"44","Yellow Tape","Key Glock"
"45","Fully Loaded: God's Country","Blake Shelton"
"46","SHAKE THE SNOW GLOBE","Russ"
"47","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"48","Thank U, Next","Ariana Grande"
"49","Free Spirit","Khalid"
"50","Diamonds","Elton John"
"51","Curtain Call: The Hits=","Eminem"
"52","?","XXXTENTACION"
"53","Melly vs. Melvin","YNW Melly"
"54","True 2 Myself","Lil Tjay"
"55","If I Know Me","Morgan Wallen"
"56","Hamilton: An American Musical","Original Broadway Cast"
"57","Texas Sun (EP)","Khruangbin & Leon Bridges"
"58","÷ (Divide)","Ed Sheeran"
"59","We Love You Tecca","Lil Tecca"
"60","Baby On Baby","DaBaby"
"61","Hoodie SZN","A Boogie Wit da Hoodie"
"62","American Teen","Khalid"
"63","Legend: The Best Of...","Bob Marley And The Wailers"
"64","The Search","NF"
"65","Shawn Mendes","Shawn Mendes"
"66","Luv Is Rage 2","Lil Uzi Vert"
"67","Alter Ego","Prince Royce"
"68","Traveller","Chris Stapleton"
"69","Homesick (EP)","Trevor Daniel"
"70","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"71","DAMN.","Kendrick Lamar"
"72","IGOR","Tyler, The Creator"
"73","Invasion Of Privacy","Cardi B"
"74","Quality Control: Control The Streets, Volume 2","Various Artists"
"75","Experiment","Kane Brown"
"76","1","The Beatles"
"77","Journey's Greatest Hits","Journey"
"78","Look Up Child","Lauren Daigle"
"79","Frozen","Soundtrack"
"80","Abbey Road","The Beatles"
"81","Happiness Begins","Jonas Brothers"
"82","Dan + Shay","Dan + Shay"
"83","GIRL","Maren Morris"
"84","The Greatest Showman","Soundtrack"
"85","Take Care","Drake"
"86","1989","Taylor Swift"
"87","X 100PRE","Bad Bunny"
"88","Championships","Meek Mill"
"89","Die A Legend","Polo G"
"90","I'm Him","Kevin Gates"
"91","Rumours","Fleetwood Mac"
"92","Moana","Soundtrack"
"93","Treat Myself","Meghan Trainor"
"94","Beauty Behind The Madness","The Weeknd"
"95","Views","Drake"
"96","Starboy","The Weeknd"
"97","2014 Forest Hills Drive","J. Cole"
"98","Old Dominion","Old Dominion"
"99","Greatest Hits","2Pac"
"100","reputation","Taylor Swift"
"101","good kid, m.A.A.d city","Kendrick Lamar"
"102","Drip Harder","Lil Baby & Gunna"
"103","Chixtape 5","Tory Lanez"
"104","17","XXXTENTACION"
"105","UNLOCKED","Denzel Curry X Kenny Beats"
"106","Greatest Hits","Tom Petty And The Heartbreakers"
"107","Evolve","Imagine Dragons"
"108","9","Jason Aldean"
"109","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"110","Greatest Hits","The Notorious B.I.G."
"111","Easy Money Baby","Myke Towers"
"112","Swimming","Mac Miller"
"113","Back In Black","AC/DC"
"114","More Life","Drake"
"115","Birds In The Trap Sing McKnight","Travis Scott"
"116","Feed Tha Streets II","Roddy Ricch"
"117","Victory Lap","Nipsey Hussle"
"118","Born To Die","Lana Del Rey"
"119","BALLADS 1","Joji"
"120","H.E.R.","H.E.R."
"121","Perception","NF"
"122","High School Musical: The Musical, The Series","Soundtrack"
"123","Ctrl","SZA"
"124","Life's A Trip","Trippie Redd"
"125","The Essential Michael Jackson","Michael Jackson"
"126","Appetite For Destruction","Guns N' Roses"
"127","I Am > I Was","21 Savage"
"128","Greatest Hits","Bob Seger & The Silver Bullet Band"
"129","Kane Brown","Kane Brown"
"130","Diamonds In The Rough","Avenged Sevenfold"
"131","Center Point Road","Thomas Rhett"
"132","GINGER","BrockHampton"
"133","Doo-Wops & Hooligans","Bruno Mars"
"134","Ella Mai","Ella Mai"
"135","Harder Than Ever","Lil Baby"
"136","Their Greatest Hits 1971-1975","Eagles"
"137","Blurryface","twenty one pilots"
"138","Nevermind","Nirvana"
"139","High Road","Kesha"
"140","Until Death Call My Name","YoungBoy Never Broke Again"
"141","A Decade Of Destruction","Five Finger Death Punch"
"142","Pray For The Wicked","Panic! At The Disco"
"143","T R A P S O U L","Bryson Tiller"
"144","The Essential Billy Joel","Billy Joel"
"145","Ultimate Sinatra","Frank Sinatra"
"146","In The Lonely Hour","Sam Smith"
"147","Tha Carter V","Lil Wayne"
"148","Bad Boys For Life: The Soundtrack","Soundtrack"
"149","21","Adele"
"150","Cosmic","Bazzi"
"151","Golden Hour","Kacey Musgraves"
"152","Thriller","Michael Jackson"
"153","Die Lit","Playboi Carti"
"154","Nothing Was The Same","Drake"
"155","Metallica","Metallica"
"156","Blonde","Frank Ocean"
"157","Norman Fucking Rockwell!","Lana Del Rey"
"158","Flower Boy","Tyler, The Creator"
"159","Sweetener","Ariana Grande"
"160","Dance Again ... The Hits","Jennifer Lopez"
"161","The Essential Elvis Presley","Elvis Presley"
"162","ANTI","Rihanna"
"163","I Am You","YNW Melly"
"164","x","Ed Sheeran"
"165","Tullahoma","Dustin Lynch"
"166","Love Yourself: Answer","BTS"
"167","World War Joy","The Chainsmokers"
