"rank","title","artist"
"1","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"2","Lovesick Girls","BLACKPINK"
"3","Dynamite","BTS"
"4","WAP","Cardi B Featuring Megan Thee Stallion"
"5","Mood","24kGoldn Featuring iann dior"
"6","Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
"7","Hawai","Maluma"
"8","Holy","Justin Bieber Featuring Chance The Rapper"
"9","Runnin","21 Savage & Metro Boomin"
"10","Mr. Right Now","21 Savage & Metro Boomin Featuring Drake"
"11","For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
"12","Blinding Lights","The Weeknd"
"13","Wonder","Shawn Mendes"
"14","Laugh Now Cry Later","Drake Featuring Lil Durk"
"15","Watermelon Sugar","Harry Styles"
"16","Rockstar","DaBaby Featuring Roddy Ricch"
"17","Ice Cream","BLACKPINK X Selena Gomez"
"18","Relacion","Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko"
"19","What You Know Bout Love","Pop Smoke"
"20","Dreams","Fleetwood Mac"
"21","Roses","SAINt JHN"
"22","Glock In My Lap","21 Savage & Metro Boomin"
"23","Head & Heart","Joel Corry X MNEK"
"24","How You Like That","BLACKPINK"
"25","Bet You Wanna","BLACKPINK Featuring Cardi B"
"26","Mood Swings","Pop Smoke Featuring Lil Tjay"
"27","You Broke Me First.","Tate McRae"
"28","Caramelo","Ozuna x Karol G x Myke Towers"
"29","Rich N*gga Sh*t","21 Savage & Metro Boomin Featuring Young Thug"
"30","Dance Monkey","Tones And I"
"31","Popstar","DJ Khaled Featuring Drake"
"32","Pretty Savage","BLACKPINK"
"33","Franchise","Travis Scott Featuring Young Thug & M.I.A."
"34","Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
"35","Slidin","21 Savage & Metro Boomin"
"36","Many Men","21 Savage & Metro Boomin"
"37","Breaking Me","Topic & A7S"
"38","Someone You Loved","Lewis Capaldi"
"39","Midnight Sky","Miley Cyrus"
"40","My Ex's Best Friend","Machine Gun Kelly X blackbear"
"41","Outta Time","Bryson Tiller Featuring Drake"
"42","Heather","Conan Gray"
"43","Vida de Rico","Camilo"
"44","Before You Go","Lewis Capaldi"
"45","Come & Go","Juice WRLD x Marshmello"
"46","Take You Dancing","Jason Derulo"
"47","Go Crazy","Chris Brown & Young Thug"
"48","Un Dia (One Day)","J Balvin, Dua Lipa, Bad Bunny & Tainy"
"49","Crazy Over You","BLACKPINK"
"50","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"51","Levitating","Dua Lipa Featuring DaBaby"
"52","Rain On Me","Lady Gaga & Ariana Grande"
"53","Ay, Dios Mio!","Karol G"
"54","Love To Hate Me","BLACKPINK"
"55","Don't Start Now","Dua Lipa"
"56","Tattoo","Rauw Alejandro x Camilo"
"57","Kings & Queens","Ava Max"
"58","Life Is Good","Future Featuring Drake"
"59","La Curiosidad","DJ Nelson Presenta Jay Wheeler & Myke Towers"
"60","Put Your Records On","Ritt Momney"
"61","Don't Stop","Megan Thee Stallion Featuring Young Thug"
"62","La Jeepeta","Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka"
"63","My Dawg","21 Savage & Metro Boomin"
"64","You Never Know","BLACKPINK"
"65","Brand New Draco","21 Savage & Metro Boomin"
"66","Perfect","Ed Sheeran"
"67","Baby Shark","Pinkfong"
"68","Be Like That","Kane Brown With Swae Lee & Khalid"
"69","La Toxica","Farruko"
"70","Despeinada","Ozuna x Camilo"
"71","Snitches & Rats","21 Savage & Metro Boomin Featuring Young Nudy"
"72","Circles","Post Malone"
"73","Death Bed","Powfu Featuring beabadoobee"
"74","Se Te Nota","Lele Pons X Guaynaa"
"75","Bad Guy","Billie Eilish"
"76","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
"77","Wishing Well","Juice WRLD"
"78","The Woo","Pop Smoke Featuring 50 Cent & Roddy Ricch"
"79","24","Money Man Featuring Lil Baby"
"80","Break My Heart","Dua Lipa"
"81","Greece","DJ Khaled Featuring Drake"
"82","Yoru Ni Kakeru","YOASOBI"
"83","ily","Surf Mesa Featuring Emilee"
"84","Diamonds","Sam Smith"
"85","Dior","Pop Smoke"
"86","No Opp Left Behind","21 Savage & Metro Boomin"
"87","Shallow","Lady Gaga & Bradley Cooper"
"88","Senorita","Shawn Mendes & Camila Cabello"
"89","Intentions","Justin Bieber Featuring Quavo"
"90","Memories","Maroon 5"
"91","Say So","Doja Cat"
"92","Rags2Riches","Rod Wave Featuring ATR Son Son"
"93","Savage","Megan Thee Stallion"
"94","Mi Cuarto","Jerry Di"
"95","Stuck With U","Ariana Grande & Justin Bieber"
"96","Adore You","Harry Styles"
"97","You Got It","VEDO"
"98","Shape Of You","Ed Sheeran"
"99","Steppin On N*ggas","21 Savage & Metro Boomin"
"100","The Box","Roddy Ricch"
"101","RIP Luv","21 Savage & Metro Boomin"
"102","Una Locura","Ozuna, J Balvin & Chencho Corleone"
"103","Believer","Imagine Dragons"
"104","Blueberry Faygo","Lil Mosey"
"105","Mad At Disney","Salem Ilese"
"106","I Hope","Gabby Barrett"
"107","Agua","Tainy x J Balvin"
"108","Tap In","Saweetie"
"109","Years Go By","Bryson Tiller"
"110","Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
"111","Forget Me Too","Machine Gun Kelly & Halsey"
"112","OK Not To Be OK","Marshmello & Demi Lovato"
"113","Always Forever","Bryson Tiller"
"114","Ride It.","Regard"
"115","Highest In The Room","Travis Scott"
"116","Me Gusta","Anitta Featuring Cardi B & Myke Towers"
"117","Daisy","Ashnikko"
"118","One Of Them Girls","Lee Brice"
"119","Said N Done","21 Savage & Metro Boomin"
"120","Sicko Mode","Travis Scott"
"121","Smile","Juice WRLD & The Weeknd"
"122","Djadja","Aya Nakamura Featuring Maluma"
"123","Tick Tock","Clean Bandit & Mabel Featuring 24kGoldn"
"124","Falling","Trevor Daniel"
"125","Bloody Valentine","Machine Gun Kelly"
"126","Jump","Van Halen"
"127","Lovely","Billie Eilish & Khalid"
"128","Toosie Slide","Drake"
"129","Hello","Pop Smoke Featuring A Boogie Wit da Hoodie"
"130","If The World Was Ending","JP Saxe Featuring Julia Michaels"
"131","I Don't Care","Ed Sheeran & Justin Bieber"
"132","Party Girl","StaySolidRocky"
"133","Got What I Got","Jason Aldean"
"134","Be Kind","Marshmello & Halsey"
"135","Lucid Dreams","Juice WRLD"
"136","Said Sum","Moneybagg Yo"
"137","Martin & Gina","Polo G"
"138","Goosebumps","Travis Scott"
"139","Acacia","BUMP OF CHICKEN"
"140","No Guidance","Chris Brown Featuring Drake"
"141","In Your Eyes","The Weeknd"
"142","Epidemic","Polo G"
"143","We Paid","Lil Baby & 42 Dugg"
"144","Parce","Maluma Featuring Lenny Tavarez & Justin Quiles"
"145","Without Me","Halsey"
"146","All Of Me","John Legend"
"147","Porfa","Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles"
"148","Robbery","Juice WRLD"
"149","Everything I Wanted","Billie Eilish"
"150","Heart Of Glass","Miley Cyrus"
"151","Jeans","Justin Quiles"
"152","Bohemian Rhapsody","Queen"
"153","Bang!","AJR"
"154","Tusa","Karol G & Nicki Minaj"
"155","Electric Love","BORNS"
"156","Neko","DISH//"
"157","Sorrows","Bryson Tiller"
"158","Say You Won't Let Go","James Arthur"
"159","Cardigan","Taylor Swift"
"160","Thinking Out Loud","Ed Sheeran"
"161","I'm Ready For You","Bryson Tiller"
"162","7 Summers","Morgan Wallen"
"163","In The End","Linkin Park"
"164","Mamacita","Black Eyed Peas, Ozuna + J.Rey Soul"
"165","Sunday Best","Surfaces"
"166","Closer","The Chainsmokers Featuring Halsey"
"167","Things Change","Bryson Tiller"
"168","The Bones","Maren Morris"
"169","Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber"
"170","Girls Like You","Maroon 5 Featuring Cardi B"
"171","More Than My Hometown","Morgan Wallen"
"172","Inhale","Bryson Tiller"
"173","Falling","Harry Styles"
"174","Still Don't Know My Name","Labrinth"
"175","Godzilla","Eminem Featuring Juice WRLD"
