id;original_song_name;original_artists_name;song_name;artists_names
0FhpzL0BoqEYsT6k2Wb9AV;svegliarsi la mattina;zero assoluto;Svegliarsi la mattina;['Zero Assoluto']
6FFwt1ea9hJ4MfMQLywahm;one;mary j. blige & u2;Anthem For The Underdog;['12 Stones']
2he9sO7ZPRCH9WNfRBRPl6;sei nell'anima;gianna nannini;Sei Nell'Anima;['Gianna Nannini, Base Karaoke + Choirs']
6shRGWCtBUOPFLFTTqXZIC;upside down;jack johnson;Upside Down;['Jack Johnson']
6vODhpvfWwdsO0i9MBWnEq;dani california;red hot chili peppers;Dani California;['Red Hot Chili Peppers']
55whbebR4olz2HHcRQa2kx;sorry;madonna;Sorry;['Madonna']
76B9fC0dfoeRQ2P8q7skph;semplicemente;zero assoluto;Semplicemente;['Zero Assoluto']
0FqMZmwe9qJ3nR5FuYpyoY;s.o.s.;rihanna;Same Ol' Situation (S.O.S.);['Mötley Crüe']
2HXLVkDfqPTz67Sahl19dG;love show;skye;Love Show;['Skye']
7mMlbJlXXo2mRtQ4R9sIzD;hide and seek;imogen heap;Hide and Seek;['Imogen Heap']
6U03Orwr5Dxt8jahLnQpYV;mas que nada;sergio mendes feat. black eyed;Mas, Que Nada!;['Jorge Ben Jor']
0itV31Y66H0USCycJGq7mh;vorrei avere il becco;povia;Vorrei avere il becco;['Povia']
7tu0xe19l5CvE4vdyd9giM;stupid girls;p!nk;Stupid Girls;['P!nk']
6btyEL6NwUa97Nex9cZFvo;pump it;black eyed peas;Pump It;['Black Eyed Peas']
7kTWPkY6ZmLYIfNs2Ye5En;le donne lo sanno;ligabue;Le donne lo sanno;['Ligabue']
19N5I1Q0cxeU66UX12TMIB;wise men;james blunt;"The Wise Men At The Manger - From ""Life Of Brian"" Original Motion Picture Soundtrack";['Monty Python']
5CfYqhjf5ffHac3bAr3ECD;i belong to you (il ritmo della vita);eros ramazzotti & anastacia;I Belong to You (El Ritmo de la Pasion);['Eros Ramazzotti', 'Anastacia']
4dygMGhvfENVhwRXmAscbl;chariot;gavin degraw;Chariot;['Gavin DeGraw']
2nGFzvICaeEWjIrBrL2RAx;put your records on;corinne bailey rae;Put Your Records On;['Corinne Bailey Rae']
5AhXsV6UDXdmJavNONqtoE;cash machine;hard-fi;Cash Machine - Radio Edit;['Hard-FI']
44L1N0lKC1f2Tp6tInCtOq;teach me again;elisa & tina turner;Gym Teacher;['Louie Anderson']
4EagE5R2s7bIdJ5BBOjmHA;com'è straordinaria la vita;dolcenera;Com'è straordinaria la vita;['Dolcenera']
5loIRrZU3ez3r102qFzJI2;thunder in my heart again;meck;Thunder in My Heart Again (Radio Edit);['Meck', 'Leo Sayer']
