"rank","title","artist"
"1","Whenever, Wherever","Shakira"
"2","Questa E' La Mia Vita","Ligabue"
"3","Accetta Il Consiglio...per Questa Volta","Linus"
"4","Hands Clean","Alanis Morissette"
"5","Murder On The Dancefloor","Sophie Ellis Bextor"
"6","Run To The Hills","Iron Maiden"
"7","In Your Eyes","Kylie Minogue"
"8","Point Of View","DB Boulevard"
"9","Dimmi Come...","Alexia"
"10","Fallin'","Alicia Keys"
"11","Batte Forte","Lollipop"
"12","Rainbow","Elisa"
"13","Get The Party Started","P!nk"
"14","A New Day Has Come","Celine Dion"
"15","Il Passo Silenzioso Della Neve","Valentina Giovagnini"
"16","Doppiamente Fragili","Anna Tatangelo"
"17","I'm Not A Girl, Not Yet A Woman","Britney Spears"
"18","Bohemian Like You","Dandy Warhols"
"19","The Switch","Planet Funk"
"20","Primavera A Sarajevo","Enrico Ruggeri"
