"rank";"title";"artist"
"1";"A Un Passo Dalla Luna";"Rocco Hunt & Ana Mena"
"2";"Karaoke";"Boomdabash & Alessandra Amoroso"
"3";"Mediterranea";"Irama"
"4";"Jerusalema";"Master KG, Burna Boy & Nomcebo Zikode"
"5";"Non Mi Basta Piu";"Baby K & Chiara"
"6";"Paloma";"Fred De Palma & Anitta"
"7";"M' Manc";"Shablo, Geolier & Sfera Ebbasta"
"8";"Savage Love";"Jawsh 685 & Jason Derulo"
"9";"Bimbi Per Strada";"Fedez & Robert Miles"
"10";"Breaking Me";"Topic & A7S"
"11";"Offline";"Tha Supreme & Bbno$"
"12";"Superclassico";"Ernia"
"13";"Chico";"Gue Pequeno, Rose Villain & Luche"
"14";"Ciclone";"Takagi & Ketra, Elodie, Mariah, Gipsy King, Nicolas Reyes, Tonino Baliardo"
"15";"Mamacita";"Black Eyed Peas, Ozuna & J.Rey Soul"
"16";"Hypnotized";"Purple Disco Machine & Sophie And The Giants"
"17";"Sono Un Bravo Ragazzo Un Po Fuori Di Testa";"Random"
"18";"Autostop";"Shade"
"19";"Guarana";"Elodie"
"20";"Spigoli";"Carl Brave, Mara Sattei & Tha Supreme"
